TypeCode,FreqCode,RefPeriodId,RefYear,RefMonth,Period,ReporterCode,ReporterISO,ReporterDesc,FlowCode,FlowDesc,PartnerCode,PartnerISO,PartnerDesc,Partner2Code,Partner2ISO,Partner2Desc,ClassificationCode,ClassificationSearchCode,IsOriginalClassification,CmdCode,CmdDesc,AggrLevel,IsLeaf,CustomsCode,CustomsDesc,MosCode,MotCode,MotDesc,QtyUnitCode,QtyUnitAbbr,Qty,IsQtyEstimated,AltQtyUnitCode,AltQtyUnitAbbr,AtlQty,IsAltQtyEstimated,NetWgt,IsNetWgtEstimated,GrossWgt,IsGrossWgtEstimated,Cifvalue,Fobvalue,PrimaryValue,LegacyEstimationFlag,IsReported,IsAggregate
C,A,19880101,1988,52,1988,246,FIN,Finland,M,Import,0,W00,World,0,W00,World,H0,HS,TRUE,2608,Zinc ores and concentrates,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,187411008,FALSE,-1,N/A,,TRUE,187411008,FALSE,,FALSE,65039184,,65039184,0,FALSE,FALSE
C,A,19880101,1988,52,1988,246,FIN,Finland,X,Export,0,W00,World,0,W00,World,H0,HS,TRUE,2608,Zinc ores and concentrates,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1608000,FALSE,-1,N/A,,TRUE,1608000,FALSE,,FALSE,,866748,866748,0,FALSE,FALSE
C,A,19880101,1988,52,1988,246,FIN,Finland,M,Import,0,W00,World,0,W00,World,H0,HS,TRUE,2610,Chromium ores and concentrates,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,11000,FALSE,-1,N/A,,TRUE,11000,FALSE,,FALSE,3975,,3975,0,FALSE,FALSE
C,A,19880101,1988,52,1988,246,FIN,Finland,X,Export,0,W00,World,0,W00,World,H0,HS,TRUE,2610,Chromium ores and concentrates,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,200692992,FALSE,-1,N/A,,TRUE,200692992,FALSE,,FALSE,,11360097,11360097,0,FALSE,FALSE
C,A,19880101,1988,52,1988,246,FIN,Finland,M,Import,0,W00,World,0,W00,World,H0,HS,TRUE,2613,Molybdenum ores and concentrates,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,1245000,FALSE,-1,N/A,,TRUE,1245000,FALSE,,FALSE,5635383,,5635383,0,FALSE,FALSE
C,A,19880101,1988,52,1988,246,FIN,Finland,M,Import,0,W00,World,0,W00,World,H0,HS,TRUE,2709,Petroleum oils and oils obtained from bituminous minerals; crude,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,7,l,10394190848,FALSE,-1,N/A,,TRUE,8937395200,FALSE,,FALSE,963753792,,963753792,0,FALSE,FALSE
C,A,19880101,1988,52,1988,246,FIN,Finland,M,Import,0,W00,World,0,W00,World,H0,HS,TRUE,271121,"Petroleum gases and other gaseous hydrocarbons; in gaseous state, natural gas",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,FALSE,-1,N/A,,TRUE,,FALSE,,FALSE,110392064,,110392064,0,FALSE,FALSE
C,A,19880101,1988,52,1988,246,FIN,Finland,M,Import,0,W00,World,0,W00,World,H0,HS,TRUE,280530,"Earth-metals, rare; scandium and yttrium, whether or not intermixed or interalloyed",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,3197,FALSE,-1,N/A,,TRUE,3197,FALSE,,FALSE,87815,,87815,0,FALSE,FALSE
C,A,19880101,1988,52,1988,246,FIN,Finland,X,Export,0,W00,World,0,W00,World,H0,HS,TRUE,280530,"Earth-metals, rare; scandium and yttrium, whether or not intermixed or interalloyed",6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,2000,FALSE,-1,N/A,,TRUE,2000,FALSE,,FALSE,,1105,1105,0,FALSE,FALSE
C,A,19880101,1988,52,1988,246,FIN,Finland,M,Import,0,W00,World,0,W00,World,H0,HS,TRUE,282520,Lithium oxide and hydroxide,6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,4519,FALSE,-1,N/A,,TRUE,4519,FALSE,,FALSE,21931,,21931,0,FALSE,FALSE
C,A,19880101,1988,52,1988,246,FIN,Finland,X,Export,0,W00,World,0,W00,World,H0,HS,TRUE,282520,Lithium oxide and hydroxide,6,TRUE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,10,FALSE,-1,N/A,,TRUE,10,FALSE,,FALSE,,877,877,0,FALSE,FALSE
C,A,19880101,1988,52,1988,280,DEU,Fed. Rep. of Germany (...1990),M,Import,0,W00,World,0,W00,World,H0,HS,TRUE,2504,Graphite; natural,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,30263788,FALSE,-1,N/A,,TRUE,30263788,FALSE,,FALSE,14255000,,14255000,0,FALSE,FALSE
